title,company,city,category,type,salary_min,salary_max,description,contact_info,is_active
Курьер на велосипеде,Яндекс Еда,Москва,Курьер и доставка,part-time,25000,45000,"Доставка заказов на велосипеде по центру Москвы. Гибкий график, можно совмещать с учёбой. Предоставляем термосумку и фирменную форму. Оплата за каждый заказ + бонусы в часы пик.",telegram: @yandex_eda_hr,true
Помощник SMM-менеджера,Digital Agency Pro,Санкт-Петербург,IT и технологии,internship,15000,20000,"Стажировка в digital-агентстве. Будешь помогать вести соцсети клиентов: писать посты, подбирать визуал, отвечать на комментарии. Научим работать с Figma и Canva. Удалённый формат.",hr@digitalagency.ru,true
Промоутер в ТЦ,Красный Куб,Казань,Промоутер,gig,1500,2500,"Раздача листовок и промо-материалов в торговом центре «Мега». Работа по выходным, 4-6 часов. Оплата в конце каждого рабочего дня.",+7 (843) 555-12-34,true
Репетитор по математике,Центр знаний,Екатеринбург,Репетиторство,part-time,20000,35000,"Ищем способного старшеклассника для занятий с учениками 5-7 классов. Требуется уверенное знание школьной программы и умение объяснять. 2-3 занятия в неделю по 1.5 часа.",telegram: @centr_znaniy,true
Дизайнер стикеров,Sticker Lab,Москва,Творчество и дизайн,gig,3000,8000,"Рисуем стикерпаки для Telegram! Нужны креативные ребята, которые умеют рисовать в цифре. Оплата за готовый стикерпак (12 шт). Портфолио обязательно.",info@stickerlab.ru,true
Помощник на кухне,Кофейня «Зерно»,Новосибирск,Общепит,part-time,18000,22000,"Помощь бариста и на кухне: мытьё посуды, подготовка ингредиентов, поддержание чистоты. Смены по 4 часа, график 2/2. Бесплатные напитки для сотрудников.",telegram: @zerno_cafe_nsk,true
Выгул собак,Happy Paws,Москва,Уход за животными,gig,500,1500,"Выгул собак в районе Хамовники. 1-2 прогулки в день по 40 минут. Опыт общения с животными приветствуется. Оплата за каждую прогулку.",+7 (495) 777-88-99,true
Продавец-консультант,Спортмастер,Ростов-на-Дону,Торговля,part-time,20000,28000,"Консультирование покупателей, выкладка товара, работа на кассе. Обучение за счёт компании. Гибкий график, можно работать вечерами и в выходные.",hr@sportmaster-rnd.ru,true
Помощник тренера,FitKids,Краснодар,Спорт и фитнес,internship,12000,18000,"Стажировка помощником тренера в детском спортивном клубе. Помощь на тренировках, подготовка зала, работа с детьми 6-10 лет. Отличная возможность получить опыт в спорт-индустрии.",telegram: @fitkids_krd,true
Оператор ввода данных,ДатаПро,Санкт-Петербург,IT и технологии,part-time,15000,20000,"Удалённая работа: ввод данных из анкет в Excel/Google Sheets. Внимательность и аккуратность обязательны. 3-4 часа в день, свободный график.",jobs@datapro.ru,true
Раздача пробников,L'Oréal Promo,Москва,Промоутер,gig,2000,3500,"Раздача пробников косметики около станций метро. Работа по пятницам и субботам, 3-5 часов. Приятная внешность, коммуникабельность. Оплата в день работы.",promo@loreal-russia.ru,true
Курьер пеший,СДЭК,Нижний Новгород,Курьер и доставка,part-time,20000,30000,"Доставка посылок пешком в пределах одного района. Маршрут формируется с учётом твоего расположения. Гибкий график, можно брать от 3 заказов в день.",telegram: @sdek_nn_hr,true
Помощник фотографа,PhotoStudio ART,Воронеж,Творчество и дизайн,internship,10000,15000,"Ассистирование фотографу на съёмках: установка света, работа с реквизитом, базовая обработка фото. Научим работать в Lightroom. 2-3 съёмки в неделю.",art@photostudio-vrn.ru,true
Официант на мероприятия,Кейтеринг «Вкус»,Самара,Общепит,gig,2000,4000,"Обслуживание гостей на корпоративах и свадьбах. Работа по выходным. Форму предоставляем. Необходима грамотная речь и опрятный вид. Оплата после мероприятия.",+7 (846) 300-22-11,true
Репетитор по английскому,LinguaKids,Казань,Репетиторство,part-time,18000,30000,"Занятия английским с детьми 8-12 лет. Уровень языка от B2. Занятия онлайн или у нас в офисе. Методические материалы предоставляем. 4-6 занятий в неделю.",telegram: @linguakids_kzn,true
Тестировщик мобильных приложений,AppTest RU,Москва,IT и технологии,part-time,22000,35000,"Тестирование мобильных приложений на Android/iOS: поиск багов, написание баг-репортов, проверка обновлений. Удалённо, нужен смартфон и внимательность к деталям.",apply@apptest.ru,true
Расклейщик объявлений,Сити Промо,Челябинск,Промоутер,gig,800,1500,"Расклейка рекламных объявлений на досках объявлений в жилых районах. Маршруты предоставляем. Работа занимает 2-3 часа. Оплата сразу после проверки.",telegram: @citypromo74,true
Продавец мороженого,Баскин Роббинс,Красноярск,Торговля,part-time,16000,22000,"Продажа мороженого в киоске в парке. Смены по 5 часов, график обсуждается. Обучим всему. Бесплатное мороженое для сотрудников!",hr@baskinrobbins-krsk.ru,true
Помощник ветеринара,Клиника «Лапа»,Уфа,Уход за животными,internship,10000,15000,"Стажировка в ветеринарной клинике: помощь врачу, уход за животными на передержке, ведение документации. Для тех, кто мечтает стать ветеринаром.",lapa-clinic@mail.ru,true
Упаковщик заказов,Wildberries,Пермь,Другое,part-time,18000,25000,"Упаковка и сортировка заказов на складе. Смены по 4-6 часов, можно выбирать удобные дни. Работа в команде, обучение на месте.",telegram: @wb_perm_jobs,true
Аниматор на детских праздниках,Праздник.ру,Волгоград,Другое,gig,3000,6000,"Проведение детских праздников в образе персонажей. Костюмы предоставляем. Работа по выходным. Нужна энергичность и любовь к детям. Оплата за мероприятие.",+7 (8442) 55-33-77,true
Курьер на самокате,Delivery Club,Санкт-Петербург,Курьер и доставка,part-time,28000,42000,"Доставка еды на электросамокате. Самокат предоставляем! Гибкий график от 4 часов в день. Бонусы за скорость и отзывы клиентов.",telegram: @dc_spb_courier,true
Контент-мейкер для TikTok,MediaWave,Екатеринбург,Творчество и дизайн,part-time,15000,25000,"Съёмка и монтаж коротких видео для TikTok и Reels. Темы: лайфстайл, образование, развлечения. Нужен смартфон с хорошей камерой и чувство тренда.",media@mediawave.ru,true
Помощник в пекарне,Пекарня «Хлеб и Ко»,Краснодар,Общепит,part-time,15000,20000,"Помощь пекарю: замес теста, формовка, выкладка готовой продукции. Утренние смены с 7:00 до 11:00. Свежая выпечка каждый день бесплатно!",telegram: @hleb_i_ko,true
Тренер по шахматам,Шахматный клуб «Ход»,Казань,Спорт и фитнес,part-time,12000,20000,"Обучение шахматам детей 7-12 лет. Разряд от 2-го. Занятия 3 раза в неделю по 1.5 часа в клубе. Методическая поддержка от старших тренеров.",chess-hod@mail.ru,true
Сборщик заказов в магазине,Перекрёсток,Нижний Новгород,Торговля,part-time,18000,24000,"Сборка онлайн-заказов в супермаркете: подбор товаров по списку, упаковка. Смены по 4 часа, утро или вечер. Скидка 10% на покупки для сотрудников.",hr@perekrestok-nn.ru,true
